Year,Statistic,Name,Team,#,Top 25
1991,Complete Games,Jack McDowell,Chicago,15,Top 25
1991,ERA,Roger Clemens,Boston,2.62,Top 25
1991,Games,Duane Ward,Toronto,81,Top 25
1991,Saves,Bryan Harvey,California,46,Top 25
1991,Shutouts,Roger Clemens,Boston,4,Top 25
1991,Strikeouts,Roger Clemens,Boston,241,Top 25
1991,Winning Percentage,Scott Erickson,Minnesota,.714,Top 25
1991,Wins,Scott Erickson,Minnesota,20,Top 25
1991,Wins,Bill Gullickson,Detroit,20,Top 25
1992,Complete Games,Jack McDowell,Chicago,13,Top 25
1992,ERA,Roger Clemens,Boston,2.41,Top 25
1992,Games,Kenny Rogers,Texas,81,Top 25
1992,Saves,Dennis Eckersley,Oakland,51,Top 25
1992,Shutouts,Roger Clemens,Boston,5,Top 25
1992,Strikeouts,Randy Johnson,Seattle,241,Top 25
1992,Winning Percentage,Mike Mussina,Baltimore,.783,Top 25
1992,Wins,Kevin Brown,Texas,21,Top 25
1992,Wins,Jack Morris,Toronto,21,Top 25
