Year,Statistic,Name,Team,#,Top 25
1991,Base on Balls,Frank Thomas,Chicago,138,Top 25
1991,Batting Average,Julio Franco,Texas,.341,Top 25
1991,Doubles,Rafael Palmeiro,Texas,49,Top 25
1991,Hits,Paul Molitor,Milwaukee,216,Top 25
1991,Home Runs,Jose Canseco,Oakland,44,Top 25
1991,Home Runs,Cecil Fielder,Detroit,44,Top 25
1991,On Base Percentage,Frank Thomas,Chicago,.454,Top 25
1991,RBI,Cecil Fielder,Detroit,133,Top 25
1991,Runs,Paul Molitor,Milwaukee,133,Top 25
1991,Slugging Average,Danny Tartabull,Kansas City,.593,Top 25
1991,Stolen Bases,Rickey Henderson,Oakland,58,Top 25
1991,Total Bases,"Cal Ripken, Jr.",Baltimore,368,Top 25
1991,Triples,Lance Johnson,Chicago,12,Top 25
1992,Base on Balls,Mickey Tettleton,Detroit,122,Top 25
1992,Base on Balls,Frank Thomas,Chicago,122,Top 25
1992,Batting Average,Edgar Martinez,Seattle,.343,Top 25
1992,Doubles,Edgar Martinez,Seattle,46,Top 25
1992,Doubles,Frank Thomas,Chicago,46,Top 25
1992,Hits,Kirby Puckett,Minnesota,210,Top 25
1992,Home Runs,Juan Gonzalez,Texas,43,Top 25
1992,On Base Percentage,Frank Thomas,Chicago,.446,Top 25
1992,RBI,Cecil Fielder,Detroit,124,Top 25
1992,Runs,Tony Phillips,Detroit,114,Top 25
1992,Slugging Average,Mark McGwire,Oakland,.585,Top 25
1992,Stolen Bases,Kenny Lofton,Cleveland,66,Top 25
1992,Total Bases,Kirby Puckett,Minnesota,313,Top 25
1992,Triples,Lance Johnson,Chicago,12,Top 25
