Year,Section,Content
1990,Off the field...,"The Hubble Space Telescope was originally due to be launched in 1986, but the explosionof the Space Shuttle Challenger delayed the launch until April of 1990. The twelve-ton telescope was equipped with a ninety-four inch mirror and was sent into orbit by the astronauts aboard the Space Shuttle Discovery. Within two months, a flaw in the mirror was discovered, placing in jeopardy the largest investment ever in astronomy. Three years later, the defect was finally repaired by specialists aboard the Space Shuttle Endeavor who restored the telescope to its full optical capabilities.

Microsoft Corporation introduced their new operating system Windows 3.0 which featured a graphical user interface similar to the Macintosh platform from Apple. The PC version of the software was geared towards the novice home user and forever changed the world of personal computers. Some of the new features included the use of a mouse, which allowed the user to navigate the screen with a pointer and manipulate data with one hand.

America's favorite dysfunctional cartoon family, The Simpsons debuted as a half hour-comedy on the FOX Network. Created by Matt Groening in 1987, the characters of Homer, Marge, Bart, Lisa and Maggie were featured as thirty-second spots on The Tracey Ullman Show before going solo in 1990. The controversial series had been repeatedly confirmed by fans and critics to be one of the most humorous and lifelike portraits of the average American family and it received the 1990 and 1991 Emmy Awards for Outstanding Animated Program."
1990,In the American League...,"The Seattle Mariner's Randy Johnson tossed the franchise's first no-hitter with a 2-0 victory over the Detroit Tigers. The ""Big Unit"", who earned his nickname as the tallest pitcher in Major League history at six feet ten inches, struck out eight batters and walked six with fifty of his pitches clocked at ninety-four miles per hour or above.

As a tribute to days gone by, the Chicago White Sox held a throwback tribute to honor their 1917 World Championship team. The players donned old-fashioned uniforms and the promoters at Comiskey Park scaled all concessions back to World War I prices. The home team went on to lose 12-9 at the hands of the Milwaukee Brewers in a thirteen inning nail-biter.

The Minnesota Twins set a Major League record by pulling off two triple plays in the same game, one in the fourth and another in the eighth. Both were started on grounders to third baseman Gary Gaetti who had started five of the Twins' last six triple efforts. Despite the record, the Red Sox went on to win 1-0. The following day both teams combined to set yet another major league mark for defensive plays when Boston hit into six double plays and Minnesota grounded into four. The previous mark of nine double plays was last accomplished on April 15, 1961."
1990,In the National League...,"The National League announced it plans to expand from twelve to fourteen teams for the 1993 season opening the doors for expansion franchises in Denver and Miami. The price of admission into the National League was set at a whopping ninety-five million dollars.

Eddie Murray of the Los Angeles Dodgers homered from both sides of the plate during a 6-2 win over the San Francisco Giants. In doing so he became the first major leaguer to pull the feat in both the National and American Leagues.

Chicago Cubs' ace Greg Maddux set a Major League record for pitchers when he recorded seven putouts in a 4-0 win over the Los Angeles Dodgers. Over the course of the season he recorded thirty-nine putouts for the year to tie Vic Willis for the National League mark set in 1904. Maddux went on to match it again both in 1991 and 1993."
1990,Around the league...,"The Boston Red Sox hired Elaine Weddington as their newest assistant General Manager, making her the highest-ranking black female in the major leagues.

The Major League owners unanimously refused to open Spring Training camps without a new Basic Agreement with the Players' Association. The standoff resulted in a thirty-two day lockout that postponed the start of the regular season by one week.

Both players and owners eventually reached a collective-bargaining agreement that increased the clubs' contributions to the players' pension fund, raised the minimum major league salary to $100,000 and also set a compromise on salary arbitration that left seventeen percent of the players with two and three years experience eligible.

On April 10th, President George Bush Sr. became the first U.S. president to throw out a first pitch on foreign soil after he was invited to the Toronto home opener by the Canadian Prime Minister Brian Mulroney. The Blue Jays later went on to beat the Texas Rangers (who were owned by a group led by George Bush Jr.) by a score of 2-1.

"" - Al Widmar"
1991,Off the field...,"In February, the Gulf War conflict between Iraqi dictator Saddam Hussein and a coalition of thirty-two nations including the United States, Britain, Egypt, France, and Saudi Arabia took place. The main coalition forces invaded southern Iraq on February 24 and, over the next four days, encircled and defeated the Iraqis while liberating Kuwait. By the time U.S. President George Bush Sr. declared a cease-fire on February 28, most of Hussein's forces had either surrendered or fled.

The ""Cold War"" between the United States and Russia finally came to an end as Soviet leader Mikhail Gorbachev was ousted by a group of communist radicals. The ill-planned coup soon faltered as infuriated citizens took to the streets of Moscow and other cities in support of Russian President Boris Yeltsin. After Gorbachev reluctantly resigned, the Soviet Union was officially dissolved and fourteen regions became independent nations ending seventy-four years of communist rule.

Basketball icon Magic Johnson stunned the world shortly before the start of the 1991 season after announcing his retirement due to testing positive to the HIV Virus. He later accepted an invitation by the NBA players to his twelfth All-Star Game in which he won the MVP honors."
1991,In the American League...,"The Detroit Tigers' Cecil Fielder hit a 502-foot home run out of the Milwaukee Brewers' County Stadium, for what was believed to be the first ball ever truly knocked ""out of the park"". The tape measure blast traveled even further after it landed in the back of a truck that didn't stop until it reached Madison.

On June 6th, the Kansas City Royals and Texas Rangers combined for eighteen-innings to tie a Major League mark by leaving forty-five stranded runners on base. The Royals also set an American League record with twenty-five of the ""castaways"" belonging to them.

Thirty-nine year-old Dave Winfield went five-for-five and hit for the cycle as the California Angels defeated the Kansas City Royals 9-4. He completed the sequence in the eighth with a triple becoming the oldest player ever to accomplish the feat."
1991,In the National League...,"Darryl Strawberry tied a National League record by striking out five times in a single game as his Los Angeles Dodgers fell 9-3 to the Montreal Expos. The struggling slugger also stumbled in the outfield dropping a fly ball for a three-base error.

Atlanta Braves ace Tom Glavine won a league leading twenty games for the first time in his Hall of Fame career. His nine complete games were tied for first, and he finished third in strikeouts and earned run average, on his way to his first-of-two career Cy Young Awards.

Fellow Brave Otis Nixon set a new National League record by stealing six bases during a 7-6 loss to the Montreal Expos and tied the major league record previously set by Eddie Collins, who did it twice in 1912."
1991,Around the league...,"Pete Rose continued to make headlines when he was released from a federal prison after serving five months for tax evasion. He was also required to provide 1,000 hours of community service at several of Cincinnati's inner-city schools.

The Major League's Umpires Union voted to sit out Opening Day resulting in amateur officials reporting as replacements. The arbiters, whose contract had expired on December 31st, returned to work the following day with better benefits and an increased starting salary.

During a straw vote held at the owner's meetings in California, the National League voted unanimously to admit Denver, Colorado and Miami, Florida into the league as expansion teams in 1993.

The Committee for Statistical Accuracy righted a thirty year wrong after officially removing the asterisk attached to Roger Maris' single-season homerun record of 61 in 1961. The committee also defined a no-hit game as one; which ends after nine or more innings with one team failing to get a hit. The decision erased fifty games (mostly shortened) from the list that had previously been considered no-hitters.

"" - Nolan Ryan"
1992,Off the field...,"South-Central Los Angeles burned amidst several days of rioting, following a jury's acquittal of white L.A. police officers that had been videotaped beating a black motorist named Rodney King. The violent protest was the worst civil disobedience incident since the Watts Riots of 1964 and resulted in $785 million in property damage.

America's most notorious serial killer Jeffrey Dahmer, also known as the Milwaukee Cannibal, was sentenced to fifteen life terms (957 years) in prison for the vicious torture and murder of seventeen young men. He himself was murdered in prison by a fellow inmate on November 28, 1994.

Hurricane Andrew, the most destructive United States hurricane of record (a category four), caused twenty-three deaths in the U.S. and three more in the Bahamas. The massive storm had a peak gust of 164 mph and caused $26.5 billion in damage."
1992,In the American League...,"Oakland Athletics outfielder and perennial base thief Rickey Henderson snatched the 1,000th base of his career in the first inning of the A's 7-6 win over the Detroit Tigers.

Nolan Ryan, of the Texas Rangers, struck out his 100th batter for a record twenty-third year in a row. In doing so, he passed Phil Niekro as number twelve on the all-time win list with three-hundred nineteen victories.

Milwaukee Brewer Robin Yount reached the 3,000th hit of his career as his team lost 5-4 against the Cleveland Indians. He also became the second player in Major League history (behind Willie Mays) to record two-hundred home runs, two-hundred stolen bases and one-hundred triples."
